gvkey,year,exec_fullname,gender,age,joined_co,leftco,ceoann,becameceo,leftofc,salary,total_curr
11340,2017,Andrew M. Alexander,MALE,60.0,1978/01/01,,CEO,2001/01/01,,700.0,700.0
11340,2017,Stephen C. Richter,MALE,62.0,,,,,,525.0,525.0
11340,2017,Johnny L. Hendrix,MALE,59.0,,,,,,525.0,525.0
3358,2015,Fred Kornberg,MALE,79.0,,,,2016/09/29,,760.0,760.0
3358,2015,Robert G. Rouse,MALE,51.0,,,,,,360.0,360.0
3358,2015,Richard L. Burt,MALE,74.0,1979/01/01,,,,,380.0,380.0
3358,2015,Robert L. McCollum,MALE,65.0,,,,,,415.0,415.0
3358,2015,"J. Preston Windus, Jr.",MALE,72.0,,2005/12/31,,,,300.0,300.0
3358,2015,Michael D. Porcelain,MALE,46.0,,,,,,395.0,395.0
3358,2015,Stanton David Sloane,MALE,65.0,,,CEO,2015/01/01,2016/09/29,287.5,662.5
3358,2015,"John Branscum, Jr.",MALE,56.0,,,,,,300.0,300.0
3358,2016,Fred Kornberg,MALE,80.0,,,,2016/09/29,,760.0,760.0
3358,2016,Richard L. Burt,MALE,75.0,1979/01/01,,,,,385.0,385.0
3358,2016,"J. Preston Windus, Jr.",MALE,73.0,,2005/12/31,,,,325.0,325.0
3358,2016,Michael D. Porcelain,MALE,47.0,,,,,,408.0,408.0
3358,2016,Stanton David Sloane,MALE,66.0,,,CEO,2015/01/01,2016/09/29,575.0,575.0
3358,2016,"John Branscum, Jr.",MALE,57.0,,,,,,325.0,325.0
3358,2017,Fred Kornberg,MALE,81.0,,,CEO,2016/09/29,,760.0,760.0
3358,2017,Richard L. Burt,MALE,76.0,1979/01/01,,,,,385.0,385.0
3358,2017,"J. Preston Windus, Jr.",MALE,74.0,,2005/12/31,,,,325.0,325.0
3358,2017,Michael D. Porcelain,MALE,48.0,,,,,,408.0,408.0
3358,2017,Stanton David Sloane,MALE,67.0,,,,2015/01/01,2016/09/29,110.57700000000001,110.57700000000001
3358,2017,"John Branscum, Jr.",MALE,58.0,,,,,,325.0,325.0
3358,2017,Michael Galletti,MALE,,,,,,,330.769,330.769
9555,2015,Karl R. Deily,MALE,57.0,,,,,,502.86300000000006,502.86300000000006
9555,2015,Emile Z. Chammas,MALE,46.0,,,,,,501.025,501.025
9555,2015,Jerome A. Peribere,MALE,60.0,,,CEO,2013/03/01,2017/12/31,1180.188,1180.188
9555,2015,Carol P. Lowe,FEMALE,49.0,,,,,,613.5,613.5
9555,2015,Ilham Kadri,MALE,46.0,,,,,,433.695,433.695
9555,2016,Karl R. Deily,MALE,58.0,,,,,,521.35,521.35
9555,2016,Emile Z. Chammas,MALE,47.0,,,,,,518.832,518.832
9555,2016,Jerome A. Peribere,MALE,61.0,,,CEO,2013/03/01,2017/12/31,1250.0,1250.0
9555,2016,Carol P. Lowe,FEMALE,50.0,,,,,,635.304,635.304
9555,2016,Ilham Kadri,MALE,47.0,,,,,,490.356,490.356
9555,2017,Karl R. Deily,MALE,59.0,,,,,,560.452,560.452
9555,2017,Emile Z. Chammas,MALE,48.0,,,,,,563.581,563.581
9555,2017,Jerome A. Peribere,MALE,62.0,,,CEO,2013/03/01,2017/12/31,1250.0,1250.0
9555,2017,Carol P. Lowe,FEMALE,51.0,,,,,,536.832,536.832
9555,2017,"Edward L. Doheny, II",MALE,55.0,,,,2018/01/01,,335.417,335.417
9555,2017,William Gregory Stiehl,MALE,55.0,,,,,,336.548,336.548
